dBZ / RGBA,Black and White,Original,Universal Blue,Titan,The Weather Channel (TWC),Meteored,NEXRAD Level III,Rainbow @ Selex SI,Dark Sky
61,#ddddddff,#004bffff,#002bffff,#002bffff,#0c4bffff,#dc0000ff,#ca0032ff,#0c4bffff,#0c4bffff
62,#dededeff,#0048ffff,#0028ffff,#0028ffff,#0948ffff,#cf0000ff,#d70065ff,#0948ffff,#0948ffff
63,#dfdfdfff,#0045ffff,#0025ffff,#0025ffff,#0645ffff,#c20000ff,#e40098ff,#0645ffff,#0645ffff
64,#e0e0e0ff,#0042ffff,#0022ffff,#0022ffff,#0242ffff,#b50000ff,#f100cbff,#0242ffff,#0242ffff
65,#e1e1e1ff,#003fffff,#001fffff,#001fffff,#003fffff,#a80000ff,#fe00feff,#003fffff,#003fffff
66,#e2e2e2ff,#003bffff,#001bffff,#001bffff,#003bffff,#b6122fff,#ea10f2ff,#003bffff,#003bffff
67,#e3e3e3ff,#0038ffff,#0018ffff,#0018ffff,#0038ffff,#c4245fff,#d620e7ff,#0038ffff,#0038ffff
68,#e4e4e4ff,#0035ffff,#0015ffff,#0015ffff,#0035ffff,#d2368eff,#c331dcff,#0035ffff,#0035ffff
69,#e5e5e5ff,#0032ffff,#0012ffff,#0012ffff,#0032ffff,#e048beff,#af41d1ff,#0032ffff,#0032ffff
70,#e6e6e6ff,#002fffff,#000fffff,#000fffff,#002fffff,#ef5beeff,#9c52c6ff,#002fffff,#002fffff
71,#e7e7e7ff,#002bffff,#000cffff,#000cffff,#002bffff,#dc58e4ff,#af74d1ff,#002bffff,#002bffff
72,#e8e8e8ff,#0028ffff,#0009ffff,#0009ffff,#0028ffff,#c955daff,#c396dcff,#0028ffff,#0028ffff
73,#e9e9e9ff,#0025ffff,#0006ffff,#0006ffff,#0025ffff,#b752d1ff,#d6b9e7ff,#0025ffff,#0025ffff
74,#eaeaeaff,#0022ffff,#0002ffff,#0002ffff,#0022ffff,#a44fc7ff,#eadbf2ff,#0022ffff,#0022ffff
75,#ebebebff,#001fffff,#0000ffff,#0000ffff,#001fffff,#924cbeff,#fefefeff,#001fffff,#001fffff
76,#ecececff,#001bffff,#0000ffff,#0000ffff,#001bffff,#8445acff,#fefefeff,#001bffff,#001bffff
77,#edededff,#0018ffff,#0000ffff,#0000ffff,#0018ffff,#773e9bff,#fefefeff,#0018ffff,#0018ffff
78,#eeeeeeff,#0015ffff,#0000ffff,#0000ffff,#0015ffff,#6a378aff,#fefefeff,#0015ffff,#0015ffff
79,#efefefff,#0012ffff,#0000ffff,#0000ffff,#0012ffff,#5d3079ff,#fefefeff,#0012ffff,#0012ffff
80,#f0f0f0ff,#000fffff,#0000ffff,#0000ffff,#000fffff,#502a68ff,#ffffffff,#000fffff,#000fffff
81,#f1f1f1ff,#000fffff,#0000ffff,#0000ffff,#000cffff,#502a68ff,#ffffffff,#000cffff,#000cffff
82,#f2f2f2ff,#000fffff,#0000ffff,#0000ffff,#0009ffff,#502a68ff,#ffffffff,#0009ffff,#0009ffff
83,#f3f3f3ff,#000fffff,#0000ffff,#0000ffff,#0006ffff,#502a68ff,#ffffffff,#0006ffff,#0006ffff
84,#f4f4f4ff,#000fffff,#0000ffff,#0000ffff,#0002ffff,#502a68ff,#ffffffff,#0002ffff,#0002ffff
85,#f5f5f5ff,#000fffff,#0000ffff,#0000ffff,#0000ffff,#502a68ff,#ffffffff,#0000ffff,#0000ffff
86,#f6f6f6ff,#000fffff,#0000ffff,#0000ffff,#0000ffff,#502a68ff,#ffffffff,#0000ffff,#0000ffff
87,#f7f7f7ff,#000fffff,#0000ffff,#0000ffff,#0000ffff,#502a68ff,#ffffffff,#0000ffff,#0000ffff
88,#f8f8f8ff,#000fffff,#0000ffff,#0000ffff,#0000ffff,#502a68ff,#ffffffff,#0000ffff,#0000ffff
89,#f9f9f9ff,#000fffff,#0000ffff,#0000ffff,#0000ffff,#502a68ff,#ffffffff,#0000ffff,#0000ffff
90,#fafafaff,#000fffff,#0000ffff,#0000ffff,#0000ffff,#502a68ff,#ffffffff,#0000ffff,#0000ffff
91,#fbfbfbff,#000fffff,#0000ffff,#0000ffff,#0000ffff,#502a68ff,#ffffffff,#0000ffff,#0000ffff
92,#fcfcfcff,#000fffff,#0000ffff,#0000ffff,#0000ffff,#502a68ff,#ffffffff,#0000ffff,#0000ffff
93,#fdfdfdff,#000fffff,#0000ffff,#0000ffff,#0000ffff,#502a68ff,#ffffffff,#0000ffff,#0000ffff
94,#fefefeff,#000fffff,#0000ffff,#0000ffff,#0000ffff,#502a68ff,#ffffffff,#0000ffff,#0000ffff
95,#ffffffff,#000fffff,#0000ffff,#0000ffff,#0000ffff,#502a68ff,#ffffffff,#0000ffff,#0000ffff
